2016/01/04 {'chg': -0.052100840336134435, 'volume': 5848300, 'rate': 0.02103019225625924, 'vol_chg': 0, 'relation': (False, False), 'RSI': 0.0, 'price': {'opening': 17.84, 'closing': 16.92, 'highest': 17.84, 'lowest': 16.8, 'avg': 17.35}, 'KDJ': {'RSV': 50, 'K': 49.99999999999999, 'D': 49.99999999999999, 'J': 49.999999999999986}}
2016/01/21 {'chg': -0.07555555555555553, 'volume': 9032990, 'rate': -0.04112213933493868, 'vol_chg': 0.6590345117395234, 'relation': (False, True), 'RSI': 30.874076638127036, 'price': {'opening': 15.68, 'closing': 14.56, 'highest': 15.8, 'lowest': 14.51, 'avg': 15.137500000000001}, 'KDJ': {'RSV': 0.0, 'K': 10.087610628755712, 'D': 15.190136763131425, 'J': -0.11744163999571455}}
2016/01/22 {'chg': 0.019917582417582357, 'volume': 12637398, 'rate': 0.006591956945207419, 'vol_chg': 0.39902712169503124, 'relation': (True, False), 'RSI': 28.46837832357595, 'price': {'opening': 14.75, 'closing': 14.85, 'highest': 15.09, 'lowest': 14.4, 'avg': 14.7725}, 'KDJ': {'RSV': 17.682926829268254, 'K': 12.619382695593226, 'D': 14.333218740618692, 'J': 9.191710605542294}}
2016/01/25 {'chg': -0.0033670033670032953, 'volume': 3747102, 'rate': -0.01136237865042826, 'vol_chg': -0.7034910192746956, 'relation': (False, False), 'RSI': 36.61254818830426, 'price': {'opening': 14.88, 'closing': 14.8, 'highest': 14.96, 'lowest': 14.7, 'avg': 14.835}, 'KDJ': {'RSV': 14.634146341463438, 'K': 13.290970577549963, 'D': 13.985802686262447, 'J': 11.901306360124995}}
2016/01/26 {'chg': -0.06824324324324335, 'volume': 10089506, 'rate': 0.00019716918287432383, 'vol_chg': 1.6926157868133827, 'relation': (False, True), 'RSI': 26.309072061886376, 'price': {'opening': 14.65, 'closing': 13.79, 'highest': 14.65, 'lowest': 13.65, 'avg': 14.185}, 'KDJ': {'RSV': 0.0, 'K': 8.860647051699974, 'D': 12.277417474741622, 'J': 2.027106205616679}}
2016/01/27 {'chg': 0.003625815808556977, 'volume': 12601239, 'rate': 0.00916927600506495, 'vol_chg': 0.24894509205901658, 'relation': (True, False), 'RSI': 27.559522776086723, 'price': {'opening': 13.79, 'closing': 13.84, 'highest': 14.16, 'lowest': 12.83, 'avg': 13.655000000000001}, 'KDJ': {'RSV': 2.0746887966805274, 'K': 6.598660966693492, 'D': 10.384498638725578, 'J': -0.9730143773706814}}
2016/01/28 {'chg': -0.038294797687861225, 'volume': 6366306, 'rate': -0.007166136584393367, 'vol_chg': -0.4947872982966199, 'relation': (False, False), 'RSI': 15.471019555843913, 'price': {'opening': 13.62, 'closing': 13.31, 'highest': 13.84, 'lowest': 13.16, 'avg': 13.482500000000002}, 'KDJ': {'RSV': 0.0, 'K': 4.3991073111289944, 'D': 8.389368196193383, 'J': -3.581414458999781}}
2016/01/29 {'chg': 0.027047332832456757, 'volume': 4561870, 'rate': -0.005893613335254087, 'vol_chg': -0.2834353234041845, 'relation': (False, False), 'RSI': 24.678175437808438, 'price': {'opening': 13.38, 'closing': 13.67, 'highest': 13.78, 'lowest': 13.22, 'avg': 13.512500000000001}, 'KDJ': {'RSV': 12.543554006968625, 'K': 7.11392287640887, 'D': 7.964219756265211, 'J': 5.413329116696188}}
2016/02/01 {'chg': -0.033650329188002856, 'volume': 8401787, 'rate': -0.014674638515340944, 'vol_chg': 0.841741873398409, 'relation': (False, True), 'RSI': 21.887135585057905, 'price': {'opening': 13.66, 'closing': 13.21, 'highest': 13.75, 'lowest': 12.9, 'avg': 13.38}, 'KDJ': {'RSV': 0.0, 'K': 4.742615250939247, 'D': 6.890351587823223, 'J': 0.44714257717129513}}
2016/02/02 {'chg': 0.014383043149129408, 'volume': 10895548, 'rate': -0.009709687704924478, 'vol_chg': 0.29681316605622116, 'relation': (True, False), 'RSI': 20.9147051402763, 'price': {'opening': 13.21, 'closing': 13.4, 'highest': 13.53, 'lowest': 13.0, 'avg': 13.285}, 'KDJ': {'RSV': 7.480314960629904, 'K': 5.655181820836132, 'D': 6.478628332160859, 'J': 4.008288798186676}}
2016/02/03 {'chg': -0.021641791044776187, 'volume': 9234803, 'rate': -0.017590800901174205, 'vol_chg': -0.15242418279466072, 'relation': (False, False), 'RSI': 21.252255012353682, 'price': {'opening': 13.19, 'closing': 13.11, 'highest': 13.19, 'lowest': 12.86, 'avg': 13.087499999999999}, 'KDJ': {'RSV': 0.0, 'K': 3.7701212138907545, 'D': 5.575792626070824, 'J': 0.15877838953061563}}
2016/02/04 {'chg': 0.030511060259344042, 'volume': 9961694, 'rate': 0.014200494681157118, 'vol_chg': 0.07871212845579922, 'relation': (True, False), 'RSI': 36.628856167325175, 'price': {'opening': 13.11, 'closing': 13.51, 'highest': 13.57, 'lowest': 13.1, 'avg': 13.3225}, 'KDJ': {'RSV': 22.988505747126453, 'K': 10.176249391635988, 'D': 7.109278214592545, 'J': 16.310191745722875}}
2016/02/05 {'chg': 0.014803849000740272, 'volume': 7010583, 'rate': 0.02151996423881724, 'vol_chg': -0.2962458995427886, 'relation': (False, False), 'RSI': 35.36084609125491, 'price': {'opening': 13.54, 'closing': 13.71, 'highest': 13.74, 'lowest': 13.4, 'avg': 13.5975}, 'KDJ': {'RSV': 35.502958579881714, 'K': 18.618485787717894, 'D': 10.94568073896766, 'J': 33.96409588521836}}
2016/02/15 {'chg': -0.012399708242159132, 'volume': 3821390, 'rate': -0.005683593004082163, 'vol_chg': -0.45491123919365906, 'relation': (False, False), 'RSI': 34.15373000877289, 'price': {'opening': 13.3, 'closing': 13.54, 'highest': 13.64, 'lowest': 13.1, 'avg': 13.395}, 'KDJ': {'RSV': 58.90410958904102, 'K': 32.0470270548256, 'D': 17.97946284425364, 'J': 60.18215547596951}}
2016/02/16 {'chg': 0.029542097488921743, 'volume': 8729130, 'rate': -0.005530948754369092, 'vol_chg': 1.2842813740549905, 'relation': (True, False), 'RSI': 53.08246639737868, 'price': {'opening': 13.56, 'closing': 13.94, 'highest': 13.98, 'lowest': 13.49, 'avg': 13.7425}, 'KDJ': {'RSV': 99.99999999999999, 'K': 54.698018036550394, 'D': 30.21898124168589, 'J': 103.6560916262794}}
2016/02/17 {'chg': 0.00286944045911054, 'volume': 6126200, 'rate': -0.008643899949021407, 'vol_chg': -0.2981889375000716, 'relation': (False, False), 'RSI': 52.924845707210224, 'price': {'opening': 13.93, 'closing': 13.98, 'highest': 14.02, 'lowest': 13.74, 'avg': 13.9175}, 'KDJ': {'RSV': 100.0, 'K': 69.79867869103359, 'D': 43.41221372480179, 'J': 122.57160862349718}}
2016/02/18 {'chg': -0.015021459227467872, 'volume': 10422670, 'rate': -0.01331577916700388, 'vol_chg': 0.7013270869380692, 'relation': (False, True), 'RSI': 59.02648126714862, 'price': {'opening': 14.05, 'closing': 13.77, 'highest': 14.33, 'lowest': 13.74, 'avg': 13.9725}, 'KDJ': {'RSV': 75.86206896551717, 'K': 71.81980878252811, 'D': 52.88141207737723, 'J': 109.69660219282987}}
2016/02/19 {'chg': 0.011619462599854767, 'volume': 6044302, 'rate': 0.012685512637644763, 'vol_chg': -0.4200812267873779, 'relation': (False, False), 'RSI': 55.63597207916926, 'price': {'opening': 13.72, 'closing': 13.93, 'highest': 13.96, 'lowest': 13.56, 'avg': 13.7925}, 'KDJ': {'RSV': 94.25287356321832, 'K': 79.29749704275818, 'D': 61.68677373250421, 'J': 114.51894366326613}}
2016/02/22 {'chg': 0.012921751615218932, 'volume': 13044251, 'rate': -0.012130424272845953, 'vol_chg': 1.1581070899501713, 'relation': (True, False), 'RSI': 70.39293103506674, 'price': {'opening': 14.03, 'closing': 14.11, 'highest': 14.2, 'lowest': 13.91, 'avg': 14.0625}, 'KDJ': {'RSV': 100.0, 'K': 86.19833136183878, 'D': 69.8572929422824, 'J': 118.88040820095156}}
2016/02/23 {'chg': -0.0035435861091423766, 'volume': 12458390, 'rate': 0.0050914191969565845, 'vol_chg': -0.044913349183483206, 'relation': (False, False), 'RSI': 66.03272683918027, 'price': {'opening': 14.15, 'closing': 14.06, 'highest': 14.38, 'lowest': 13.84, 'avg': 14.107500000000002}, 'KDJ': {'RSV': 95.00000000000011, 'K': 89.13222090789256, 'D': 76.28226893081911, 'J': 114.83212486203942}}
2016/02/24 {'chg': 0.012091038406827875, 'volume': 7506781, 'rate': 0.002709798074275918, 'vol_chg': -0.3974517574100666, 'relation': (False, False), 'RSI': 78.69252838929783, 'price': {'opening': 13.92, 'closing': 14.23, 'highest': 14.24, 'lowest': 13.87, 'avg': 14.065000000000001}, 'KDJ': {'RSV': 99.99999999999999, 'K': 92.75481393859503, 'D': 81.7731172667444, 'J': 114.7182072822963}}
2016/02/25 {'chg': -0.08222066057624736, 'volume': 9625650, 'rate': -0.013886853153908668, 'vol_chg': 0.28226066539039835, 'relation': (False, True), 'RSI': 42.55511346203196, 'price': {'opening': 14.11, 'closing': 13.06, 'highest': 14.22, 'lowest': 13.01, 'avg': 13.6}, 'KDJ': {'RSV': 0.0, 'K': 61.83654262573002, 'D': 75.12759238640628, 'J': 35.254443104377486}}
2016/02/26 {'chg': 0.0068912710566615505, 'volume': 5791890, 'rate': -0.0032362043023434024, 'vol_chg': -0.3982858300478409, 'relation': (False, False), 'RSI': 40.151687072890944, 'price': {'opening': 13.2, 'closing': 13.15, 'highest': 13.27, 'lowest': 12.86, 'avg': 13.12}, 'KDJ': {'RSV': 7.692307692307681, 'K': 43.78846431458924, 'D': 64.68121636246727, 'J': 2.0029602188331808}}
2016/02/29 {'chg': -0.019771863117870707, 'volume': 8898398, 'rate': 0.010717167962923154, 'vol_chg': 0.5363547995559308, 'relation': (False, True), 'RSI': 38.645246578750076, 'price': {'opening': 13.2, 'closing': 12.89, 'highest': 13.2, 'lowest': 12.01, 'avg': 12.825}, 'KDJ': {'RSV': 0.0, 'K': 29.192309543059494, 'D': 52.85158075599801, 'J': -18.126232882817533}}
2016/03/01 {'chg': 0.031807602792862696, 'volume': 9383140, 'rate': 0.01389796215799078, 'vol_chg': 0.05447519879420992, 'relation': (True, False), 'RSI': 39.34458660136389, 'price': {'opening': 12.87, 'closing': 13.3, 'highest': 13.35, 'lowest': 12.63, 'avg': 13.037500000000001}, 'KDJ': {'RSV': 30.59701492537315, 'K': 29.660544670497377, 'D': 45.12123539416446, 'J': -1.2608367768367827}}
2016/03/02 {'chg': 0.07518796992481203, 'volume': 17577929, 'rate': 0.029774238314958235, 'vol_chg': 0.8733525237820176, 'relation': (True, False), 'RSI': 55.52639367138404, 'price': {'opening': 13.35, 'closing': 14.3, 'highest': 14.44, 'lowest': 13.32, 'avg': 13.8525}, 'KDJ': {'RSV': 99.99999999999999, 'K': 53.10702978033158, 'D': 47.78316685622016, 'J': 63.75475562855442}}
2016/03/03 {'chg': 0.034265734265734156, 'volume': 23640968, 'rate': 0.030534559133469173, 'vol_chg': 0.344923397972537, 'relation': (True, False), 'RSI': 63.648467921693374, 'price': {'opening': 14.3, 'closing': 14.79, 'highest': 15.64, 'lowest': 14.3, 'avg': 14.7575}, 'KDJ': {'RSV': 100.0, 'K': 68.73801985355438, 'D': 54.76811785533157, 'J': 96.67782385000001}}
2016/03/04 {'chg': 0.003380662609871583, 'volume': 18005008, 'rate': -0.0019495875790783925, 'vol_chg': -0.2383980216038531, 'relation': (False, False), 'RSI': 62.586745256025694, 'price': {'opening': 14.97, 'closing': 14.84, 'highest': 15.0, 'lowest': 14.52, 'avg': 14.8325}, 'KDJ': {'RSV': 100.00000000000001, 'K': 79.15867990236958, 'D': 62.89830520434424, 'J': 111.67942929842027}}
2016/03/07 {'chg': -0.005390835579514829, 'volume': 9769438, 'rate': -0.014025840885613792, 'vol_chg': -0.45740440659620923, 'relation': (False, False), 'RSI': 59.59699483795205, 'price': {'opening': 14.96, 'closing': 14.76, 'highest': 15.14, 'lowest': 14.41, 'avg': 14.8175}, 'KDJ': {'RSV': 95.89743589743588, 'K': 84.73826523405835, 'D': 70.1782918809156, 'J': 113.85821194034384}}
2016/03/08 {'chg': 0.0006775067750677363, 'volume': 9016646, 'rate': -0.000814963277838257, 'vol_chg': -0.0770558142648533, 'relation': (False, False), 'RSI': 60.47507152739406, 'price': {'opening': 14.6, 'closing': 14.77, 'highest': 14.77, 'lowest': 14.14, 'avg': 14.57}, 'KDJ': {'RSV': 96.41025641025638, 'K': 88.62892895945768, 'D': 76.32850424042962, 'J': 113.22977839751383}}
2016/03/09 {'chg': -0.032498307379823996, 'volume': 13228335, 'rate': -0.01821323687343806, 'vol_chg': 0.46710151424376645, 'relation': (False, True), 'RSI': 52.11047603041152, 'price': {'opening': 14.4, 'closing': 14.29, 'highest': 14.54, 'lowest': 13.74, 'avg': 14.2425}, 'KDJ': {'RSV': 71.79487179487175, 'K': 83.01757657126237, 'D': 78.55819501737386, 'J': 91.93633967903938}}
2016/03/10 {'chg': -0.04058782365290401, 'volume': 7642656, 'rate': -0.01905361288954611, 'vol_chg': -0.4222510996281845, 'relation': (False, False), 'RSI': 60.772580211910736, 'price': {'opening': 14.1, 'closing': 13.71, 'highest': 14.26, 'lowest': 13.68, 'avg': 13.9375}, 'KDJ': {'RSV': 42.05128205128208, 'K': 69.36214506460227, 'D': 75.49284503311665, 'J': 57.10074512757353}}
2016/03/11 {'chg': -0.0007293946024800556, 'volume': 4821538, 'rate': -0.0028614946780600456, 'vol_chg': -0.36912795761054795, 'relation': (False, False), 'RSI': 59.48458620420735, 'price': {'opening': 13.73, 'closing': 13.7, 'highest': 13.87, 'lowest': 13.6, 'avg': 13.725000000000001}, 'KDJ': {'RSV': 41.53846153846149, 'K': 60.087583889222, 'D': 70.35775798515176, 'J': 39.54723569736248}}
2016/03/14 {'chg': 0.03649635036496351, 'volume': 5653894, 'rate': 0.01784047470363859, 'vol_chg': 0.17263288187296252, 'relation': (True, False), 'RSI': 69.655314807762, 'price': {'opening': 13.83, 'closing': 14.2, 'highest': 14.3, 'lowest': 13.83, 'avg': 14.04}, 'KDJ': {'RSV': 58.441558441558385, 'K': 59.53890874000079, 'D': 66.75147490343477, 'J': 45.113776413132825}}
2016/03/15 {'chg': 0.030281690140845176, 'volume': 10499161, 'rate': 0.028469405076602183, 'vol_chg': 0.8569787477444749, 'relation': (True, False), 'RSI': 69.47687934080393, 'price': {'opening': 14.11, 'closing': 14.63, 'highest': 14.7, 'lowest': 13.79, 'avg': 14.3075}, 'KDJ': {'RSV': 81.57894736842114, 'K': 66.88558828280756, 'D': 66.79617936322569, 'J': 67.0644061219713}}
2016/03/16 {'chg': 0.012303485987696493, 'volume': 12656925, 'rate': 0.010064780908337505, 'vol_chg': 0.20551775518062823, 'relation': (True, False), 'RSI': 59.714338256479735, 'price': {'opening': 14.48, 'closing': 14.81, 'highest': 14.96, 'lowest': 14.36, 'avg': 14.6525}, 'KDJ': {'RSV': 97.36842105263163, 'K': 77.04653253941558, 'D': 70.21296375528898, 'J': 90.71367010766878}}
2016/03/17 {'chg': 0.0027008777852801586, 'volume': 6402037, 'rate': -0.010091722668199781, 'vol_chg': -0.49418701619864225, 'relation': (False, False), 'RSI': 52.009795714742495, 'price': {'opening': 14.72, 'closing': 14.85, 'highest': 15.0, 'lowest': 14.66, 'avg': 14.8075}, 'KDJ': {'RSV': 100.0, 'K': 84.69768835961038, 'D': 75.04120529006278, 'J': 104.0106544987056}}
2016/03/18 {'chg': 0.008754208754208808, 'volume': 20069388, 'rate': -0.009688456899558105, 'vol_chg': 2.134844112897192, 'relation': (True, False), 'RSI': 53.52297990278926, 'price': {'opening': 14.9, 'closing': 14.98, 'highest': 15.3, 'lowest': 14.78, 'avg': 14.990000000000002}, 'KDJ': {'RSV': 100.0, 'K': 89.79845890640692, 'D': 79.96028982884415, 'J': 109.47479706153243}}
2016/03/21 {'chg': -0.0006675567423230832, 'volume': 20343533, 'rate': -0.023587632554807978, 'vol_chg': 0.013659858486965323, 'relation': (False, True), 'RSI': 55.04867831497563, 'price': {'opening': 15.19, 'closing': 14.97, 'highest': 15.23, 'lowest': 14.6, 'avg': 14.9975}, 'KDJ': {'RSV': 99.21875000000003, 'K': 92.93855593760462, 'D': 84.28637853176431, 'J': 110.24291074928522}}
2016/03/22 {'chg': -0.02605210420841687, 'volume': 14961813, 'rate': -0.019229383966560903, 'vol_chg': -0.26454205373275136, 'relation': (False, False), 'RSI': 47.38355592690963, 'price': {'opening': 14.77, 'closing': 14.58, 'highest': 14.88, 'lowest': 14.55, 'avg': 14.695}, 'KDJ': {'RSV': 68.75, 'K': 84.87570395840308, 'D': 84.4828203406439, 'J': 85.66147119392144}}
2016/03/23 {'chg': 0.008230452674897066, 'volume': 10266611, 'rate': 0.004499277542632084, 'vol_chg': -0.31381237019871855, 'relation': (False, False), 'RSI': 59.21146874482139, 'price': {'opening': 14.59, 'closing': 14.7, 'highest': 14.81, 'lowest': 14.55, 'avg': 14.662500000000001}, 'KDJ': {'RSV': 78.12499999999993, 'K': 82.62546930560202, 'D': 83.86370332896327, 'J': 80.14900125887954}}
2016/03/24 {'chg': -0.030612244897959138, 'volume': 12100969, 'rate': -0.013235629281982221, 'vol_chg': 0.17867220254083846, 'relation': (False, True), 'RSI': 62.97780696619142, 'price': {'opening': 14.58, 'closing': 14.25, 'highest': 14.59, 'lowest': 14.25, 'avg': 14.4175}, 'KDJ': {'RSV': 42.968750000000014, 'K': 69.40656287040136, 'D': 79.04465650944263, 'J': 50.13037559231881}}
2016/03/25 {'chg': 0.013333333333333298, 'volume': 6081428, 'rate': 0.006723823099035329, 'vol_chg': -0.49744289073048614, 'relation': (False, False), 'RSI': 66.16235263638399, 'price': {'opening': 14.34, 'closing': 14.44, 'highest': 14.47, 'lowest': 14.25, 'avg': 14.375}, 'KDJ': {'RSV': 30.769230769230752, 'K': 56.52745217001115, 'D': 71.53892172963214, 'J': 26.50451305076919}}
2016/03/28 {'chg': 0.0048476454293629005, 'volume': 8520316, 'rate': 0.012629810705229866, 'vol_chg': 0.40103870340979125, 'relation': (True, False), 'RSI': 58.389891200617974, 'price': {'opening': 14.56, 'closing': 14.51, 'highest': 14.85, 'lowest': 14.4, 'avg': 14.58}, 'KDJ': {'RSV': 35.61643835616433, 'K': 49.557114232062204, 'D': 64.21165256377549, 'J': 20.248037568635652}}
2016/03/29 {'chg': -0.022053756030323935, 'volume': 7568779, 'rate': -0.008408315546611998, 'vol_chg': -0.11167860440856889, 'relation': (False, False), 'RSI': 38.72466992317108, 'price': {'opening': 14.58, 'closing': 14.19, 'highest': 14.6, 'lowest': 14.1, 'avg': 14.3675}, 'KDJ': {'RSV': 0.0, 'K': 33.038076154708136, 'D': 53.820460427419704, 'J': -8.526692390714999}}
2016/03/30 {'chg': 0.03875968992248067, 'volume': 12041975, 'rate': 0.009230103875697806, 'vol_chg': 0.5910062904465833, 'relation': (True, False), 'RSI': 49.115626912434166, 'price': {'opening': 14.38, 'closing': 14.74, 'highest': 14.75, 'lowest': 14.29, 'avg': 14.540000000000001}, 'KDJ': {'RSV': 69.62025316455697, 'K': 45.23213515799108, 'D': 50.95768533761016, 'J': 33.78103479875293}}
2016/03/31 {'chg': 0.0006784260515603654, 'volume': 15194716, 'rate': -0.0004942289900086292, 'vol_chg': 0.2618126179468069, 'relation': (True, False), 'RSI': 48.44732651960972, 'price': {'opening': 14.8, 'closing': 14.75, 'highest': 14.98, 'lowest': 14.68, 'avg': 14.8025}, 'KDJ': {'RSV': 70.88607594936707, 'K': 53.78344875511641, 'D': 51.8996064767789, 'J': 57.55113331179143}}
2016/04/01 {'chg': 0.026440677966101733, 'volume': 15200676, 'rate': 0.02441518289430074, 'vol_chg': 0.00039224161873114313, 'relation': (True, False), 'RSI': 53.758408855465206, 'price': {'opening': 14.75, 'closing': 15.14, 'highest': 15.15, 'lowest': 14.6, 'avg': 14.91}, 'KDJ': {'RSV': 100.00000000000001, 'K': 69.18896583674427, 'D': 57.662726263434024, 'J': 92.24144498336477}}
2016/04/05 {'chg': 0.029722589167767457, 'volume': 23850241, 'rate': 0.014264863619812529, 'vol_chg': 0.5690250223082184, 'relation': (True, False), 'RSI': 60.78426519375979, 'price': {'opening': 15.2, 'closing': 15.59, 'highest': 15.76, 'lowest': 15.2, 'avg': 15.4375}, 'KDJ': {'RSV': 100.0, 'K': 79.45931055782951, 'D': 64.92825436156585, 'J': 108.52142295035685}}
2016/04/06 {'chg': -0.01603592046183451, 'volume': 13289682, 'rate': -0.015183080431602514, 'vol_chg': -0.44278625947637174, 'relation': (False, False), 'RSI': 63.976605660241674, 'price': {'opening': 15.39, 'closing': 15.34, 'highest': 15.54, 'lowest': 15.17, 'avg': 15.36}, 'KDJ': {'RSV': 82.14285714285714, 'K': 80.35382608617205, 'D': 70.07011160310125, 'J': 100.92125505231365}}
2016/04/07 {'chg': -0.02542372881355936, 'volume': 12460115, 'rate': -0.010712238292057426, 'vol_chg': -0.062421884887840055, 'relation': (False, False), 'RSI': 54.72726170358128, 'price': {'opening': 15.35, 'closing': 14.95, 'highest': 15.37, 'lowest': 14.9, 'avg': 15.142499999999998}, 'KDJ': {'RSV': 54.28571428571425, 'K': 71.66445548601945, 'D': 70.60155956407398, 'J': 73.79024732991039}}
2016/04/08 {'chg': 0.0026755852842809983, 'volume': 8539715, 'rate': 0.01099077557904296, 'vol_chg': -0.3146359403584959, 'relation': (False, False), 'RSI': 64.70915818692835, 'price': {'opening': 14.76, 'closing': 14.99, 'highest': 15.07, 'lowest': 14.73, 'avg': 14.887500000000001}, 'KDJ': {'RSV': 57.14285714285718, 'K': 66.82392270496536, 'D': 69.34234727770443, 'J': 61.7870735594872}}
2016/04/11 {'chg': 0.012675116744496298, 'volume': 12407124, 'rate': -0.004808103875259619, 'vol_chg': 0.4528733101748712, 'relation': (True, False), 'RSI': 64.57961375950839, 'price': {'opening': 15.07, 'closing': 15.18, 'highest': 15.49, 'lowest': 15.06, 'avg': 15.200000000000001}, 'KDJ': {'RSV': 70.71428571428572, 'K': 68.1207103747388, 'D': 68.93513497671589, 'J': 66.49186117078466}}
