date,stock,index,*Beta,ASR,profit
"2016-03-11,五",0.0668 ,0.0175 ,0.016119526,0.0507 ,0.0668 
"2016-03-14,一",-0.0231 ,0.0017 ,0.001568442,-0.0247 ,-0.0231 
"2016-03-15,二",0.0297 ,0.0021 ,0.001948378,0.0278 ,0.0297 
"2016-05-18,三",-0.0219 ,-0.0002 ,-0.000196816,-0.0217 ,-0.0219 
"2016-05-19,四",-0.0256 ,0.0066 ,0.006092746,-0.0317 ,-0.0256 
"2016-05-20,五",0.0190 ,0.0064 ,0.005922327,0.0130 ,0.0190 
"2016-05-23,一",0.0233 ,-0.0077 ,-0.007118381,0.0304 ,0.0233 
"2016-05-24,二",-0.0206 ,-0.0023 ,-0.00214758,-0.0185 ,-0.0206 
"2016-05-25,三",-0.0054 ,0.0026 ,0.0024045,-0.0078 ,-0.0054 
"2016-05-26,四",-0.0097 ,-0.0005 ,-0.000453544,-0.0092 ,-0.0097 
"2016-05-27,五",-0.0250 ,0.0005 ,0.000457032,-0.0255 ,-0.0250 
"2016-05-30,一",0.0800 ,0.0334 ,0.030726706,0.0493 ,0.0800 
"2016-05-31,二",0.0114 ,-0.0011 ,-0.000981997,0.0123 ,0.0114 
"2016-06-01,三",0.0037 ,0.0040 ,0.003704595,0.0000 ,0.0037 
"2016-06-02,四",0.0523 ,0.0046 ,0.004234401,0.0480 ,0.0523 
"2016-06-03,五",0.0639 ,-0.0016 ,-0.001435301,0.0653 ,0.0639 
"2016-06-06,一",-0.0239 ,0.0007 ,0.000608915,-0.0246 ,-0.0239 
"2016-06-07,二",0.0550 ,-0.0030 ,-0.002785356,0.0578 ,0.0550 
"2016-06-08,三",-0.0757 ,-0.0321 ,-0.029602384,-0.0461 ,-0.0757 
"2016-06-13,一",-0.0064 ,0.0032 ,0.002964608,-0.0093 ,-0.0064 
"2016-06-14,二",0.0603 ,0.0158 ,0.01458754,0.0457 ,0.0603 
"2016-06-15,三",-0.0027 ,-0.0050 ,-0.004589994,0.0019 ,-0.0027 
"2016-06-16,四",-0.0170 ,0.0043 ,0.003939791,-0.0209 ,-0.0170 
"2016-06-17,五",-0.0139 ,0.0013 ,0.001181052,-0.0151 ,-0.0139 
"2016-06-20,一",-0.0156 ,-0.0035 ,-0.003267643,-0.0124 ,-0.0156 
"2016-06-21,二",0.0286 ,0.0094 ,0.008634899,0.0200 ,0.0286 
"2016-06-22,三",-0.0114 ,-0.0047 ,-0.004307455,-0.0071 ,-0.0114 
"2016-06-23,四",-0.0219 ,-0.0130 ,-0.011995905,-0.0099 ,-0.0219 
"2016-06-24,五",0.0214 ,0.0145 ,0.013360934,0.0080 ,0.0214 
"2016-06-27,一",0.0253 ,0.0058 ,0.005362085,0.0200 ,0.0253 
"2016-06-28,二",-0.0125 ,0.0065 ,0.006017188,-0.0185 ,-0.0125 
"2016-06-29,三",0.0145 ,-0.0007 ,-0.000622002,0.0151 ,0.0145 
"2016-06-30,四",-0.0155 ,0.0010 ,0.000902198,-0.0164 ,-0.0155 
"2016-07-01,五",0.0189 ,0.0191 ,0.017624317,0.0012 ,0.0189 
"2016-07-04,一",-0.0064 ,0.0060 ,0.005481985,-0.0119 ,-0.0064 
"2016-07-05,二",-0.0192 ,0.0036 ,0.003338957,-0.0226 ,-0.0192 
"2016-07-06,三",-0.0146 ,-0.0001 ,-0.000134297,-0.0145 ,-0.0146 
"2016-07-07,四",0.0051 ,-0.0095 ,-0.0087794,0.0138 ,0.0051 
"2016-07-08,五",-0.0204 ,0.0023 ,0.002105022,-0.0225 ,-0.0204 
"2016-07-11,一",0.0093 ,0.0182 ,0.016746425,-0.0074 ,0.0093 
"2016-07-12,二",0.0080 ,0.0037 ,0.003415708,0.0045 ,0.0080 
"2016-07-13,三",-0.0028 ,-0.0022 ,-0.002006948,-0.0008 ,-0.0028 
"2016-07-14,四",0.0199 ,0.0001 ,8.44337E-05,0.0199 ,0.0199 
"2016-07-15,五",-0.0183 ,-0.0035 ,-0.003238339,-0.0151 ,-0.0183 
"2016-07-18,一",0.0000 ,-0.0023 ,-0.002105994,0.0021 ,0.0000 
"2016-07-19,二",0.0000 ,-0.0029 ,-0.002638526,0.0026 ,0.0000 
"2016-07-20,三",-0.0702 ,0.0037 ,0.003379109,-0.0735 ,-0.0702 
"2016-07-28,四",-0.0143 ,-0.0050 ,-0.004607266,-0.0097 ,-0.0143 
"2016-07-29,五",-0.0159 ,-0.0087 ,-0.008021341,-0.0078 ,-0.0159 
"2016-08-01,一",0.0039 ,0.0061 ,0.005578523,-0.0017 ,0.0039 
"2016-08-02,二",0.0003 ,0.0024 ,0.002225413,-0.0019 ,0.0003 
"2016-08-03,三",0.0195 ,0.0013 ,0.00122752,0.0183 ,0.0195 
"2016-08-04,四",-0.0082 ,-0.0019 ,-0.001769351,-0.0064 ,-0.0082 
"2016-08-05,五",0.0204 ,0.0093 ,0.008532747,0.0118 ,0.0204 
"2016-08-08,一",0.0020 ,0.0071 ,0.006559988,-0.0045 ,0.0020 
"2016-08-09,二",-0.0081 ,-0.0023 ,-0.002109308,-0.0060 ,-0.0081 
"2016-08-10,三",-0.0242 ,-0.0053 ,-0.004914712,-0.0192 ,-0.0242 
"2016-08-11,四",0.0042 ,0.0160 ,0.01473123,-0.0105 ,0.0042 
"2016-08-12,五",0.0486 ,0.0244 ,0.022499122,0.0261 ,0.0486 
"2016-08-15,一",0.0172 ,-0.0049 ,-0.004467361,0.0217 ,0.0172 
"2016-08-16,二",-0.0101 ,-0.0002 ,-0.000142136,-0.0099 ,-0.0101 
"2016-08-17,三",-0.0066 ,-0.0018 ,-0.001614088,-0.0050 ,-0.0066 
"2016-08-18,四",0.0126 ,0.0013 ,0.001183765,0.0114 ,0.0126 
"2016-08-19,五",-0.0078 ,-0.0075 ,-0.006900875,-0.0009 ,-0.0078 
"2016-08-22,一",-0.0020 ,0.0016 ,0.001462842,-0.0034 ,-0.0020 
"2016-08-23,二",0.0201 ,-0.0012 ,-0.001141592,0.0213 ,0.0201 
"2016-08-24,三",0.0133 ,-0.0057 ,-0.005237545,0.0185 ,0.0133 
"2016-08-25,四",-0.0278 ,0.0006 ,0.000594282,-0.0284 ,-0.0278 
"2016-08-26,五",-0.0066 ,-0.0001 ,-8.39857E-05,-0.0065 ,-0.0066 
"2016-08-29,一",0.0023 ,0.0015 ,0.00139489,0.0009 ,0.0023 
"2016-08-30,二",0.0020 ,0.0035 ,0.003237841,-0.0013 ,0.0020 
"2016-08-31,三",-0.0089 ,-0.0072 ,-0.006620139,-0.0023 ,-0.0089 
"2016-09-01,四",-0.0123 ,0.0013 ,0.001214563,-0.0135 ,-0.0123 
"2016-09-02,五",0.0007 ,0.0015 ,0.001426133,-0.0008 ,0.0007 
"2016-09-05,一",0.0259 ,0.0061 ,0.005578799,0.0203 ,0.0259 
"2016-09-06,二",-0.0069 ,0.0004 ,0.000363522,-0.0072 ,-0.0069 
"2016-09-07,三",-0.0049 ,0.0013 ,0.001197364,-0.0061 ,-0.0049 
"2016-09-08,四",-0.0133 ,-0.0055 ,-0.005083675,-0.0082 ,-0.0133 
"2016-09-09,五",-0.0313 ,-0.0185 ,-0.017013722,-0.0142 ,-0.0313 
"2016-09-12,一",0.0069 ,0.0005 ,0.000466261,0.0065 ,0.0069 
"2016-09-13,二",0.0021 ,-0.0068 ,-0.006292868,0.0084 ,0.0021 
"2016-09-14,三",0.0065 ,0.0077 ,0.00711515,-0.0006 ,0.0065 
"2016-09-19,一",-0.0051 ,-0.0010 ,-0.000928225,-0.0042 ,-0.0051 
"2016-09-20,二",0.0048 ,0.0009 ,0.000874326,0.0039 ,0.0048 
"2016-09-21,三",0.0041 ,0.0054 ,0.005003584,-0.0009 ,0.0041 
"2016-09-22,四",-0.0122 ,-0.0028 ,-0.002545788,-0.0097 ,-0.0122 
"2016-09-23,五",-0.0251 ,-0.0176 ,-0.016230751,-0.0089 ,-0.0251 
"2016-09-26,一",0.0085 ,0.0060 ,0.005481563,0.0030 ,0.0085 
"2016-09-27,二",-0.0042 ,-0.0034 ,-0.003166884,-0.0010 ,-0.0042 
"2016-09-28,三",0.0004 ,0.0036 ,0.003273361,-0.0029 ,0.0004 
"2016-09-29,四",0.0000 ,0.0021 ,0.001910376,-0.0019 ,0.0000 
"2016-09-30,五",0.0302 ,0.0145 ,0.013314301,0.0169 ,0.0302 
"2016-10-10,一",0.0017 ,0.0056 ,0.005169455,-0.0035 ,0.0017 
"2016-10-11,二",-0.0037 ,-0.0022 ,-0.002027998,-0.0017 ,-0.0037 
"2016-10-12,三",-0.0024 ,0.0009 ,0.000858156,-0.0033 ,-0.0024 
"2016-10-13,四",0.0055 ,0.0008 ,0.000740034,0.0047 ,0.0055 
"2016-10-14,五",-0.0143 ,-0.0074 ,-0.006805253,-0.0075 ,-0.0143 
"2016-10-17,一",0.0083 ,0.0140 ,0.012933574,-0.0046 ,0.0083 
"2016-10-18,二",0.0096 ,0.0003 ,0.000250848,0.0094 ,0.0096 
"2016-10-19,三",0.0343 ,-0.0001 ,-7.76224E-05,0.0344 ,0.0343 
"2016-10-20,四",-0.0138 ,0.0021 ,0.001934753,-0.0157 ,-0.0138 
"2016-10-21,五",0.0277 ,0.0121 ,0.011116405,0.0165 ,0.0277 
"2016-10-24,一",0.0133 ,0.0012 ,0.001086312,0.0122 ,0.0133 
"2016-10-25,二",-0.0253 ,-0.0050 ,-0.004595949,-0.0207 ,-0.0253 
"2016-10-26,三",-0.0020 ,-0.0013 ,-0.001170265,-0.0008 ,-0.0020 
"2016-10-27,四",-0.0161 ,-0.0026 ,-0.002390852,-0.0137 ,-0.0161 
"2016-10-28,五",0.0023 ,-0.0012 ,-0.001121404,0.0035 ,0.0023 
"2016-10-31,一",0.0067 ,0.0071 ,0.006519794,0.0002 ,0.0067 
"2016-11-01,二",-0.0066 ,-0.0063 ,-0.005813293,-0.0008 ,-0.0066 
"2016-11-02,三",0.0090 ,0.0084 ,0.007779519,0.0012 ,0.0090 
"2016-11-03,四",-0.0126 ,-0.0012 ,-0.001065469,-0.0115 ,-0.0126 
"2016-11-04,五",-0.0080 ,0.0026 ,0.002360303,-0.0104 ,-0.0080 
"2016-11-07,一",0.0074 ,0.0046 ,0.00427942,0.0031 ,0.0074 
"2016-11-08,二",-0.0198 ,-0.0062 ,-0.005710708,-0.0141 ,-0.0198 
"2016-11-09,三",0.0188 ,0.0137 ,0.012631941,0.0062 ,0.0188 
"2016-11-10,四",0.0013 ,0.0078 ,0.007190279,-0.0058 ,0.0013 
"2016-11-11,五",0.0111 ,0.0045 ,0.004129179,0.0069 ,0.0111 
"2016-11-14,一",0.0186 ,-0.0011 ,-0.000969597,0.0195 ,0.0186 
"2016-11-15,二",-0.0094 ,-0.0006 ,-0.000554229,-0.0089 ,-0.0094 
"2016-11-16,三",-0.0115 ,0.0011 ,0.000974077,-0.0125 ,-0.0115 
"2016-11-17,四",0.0003 ,-0.0049 ,-0.004474871,0.0048 ,0.0003 
"2016-11-18,五",0.0083 ,0.0079 ,0.007294552,0.0010 ,0.0083 
"2016-11-21,一",0.0040 ,0.0094 ,0.00864232,-0.0047 ,0.0040 
"2016-11-22,二",-0.0105 ,-0.0022 ,-0.0020441,-0.0085 ,-0.0105 
"2016-11-23,三",-0.0149 ,0.0002 ,0.000170484,-0.0151 ,-0.0149 
"2016-11-24,四",0.0074 ,0.0062 ,0.005738559,0.0017 ,0.0074 
"2016-11-25,五",-0.0043 ,0.0046 ,0.004251857,-0.0086 ,-0.0043 
"2016-11-28,一",-0.0101 ,0.0018 ,0.0016637,-0.0117 ,-0.0101 
"2016-11-29,二",0.0061 ,-0.0100 ,-0.009226421,0.0153 ,0.0061 
"2016-11-30,三",-0.0007 ,0.0072 ,0.006596678,-0.0073 ,-0.0007 
"2016-12-01,四",-0.0189 ,-0.0090 ,-0.008291301,-0.0106 ,-0.0189 
"2016-12-02,五",-0.0062 ,-0.0121 ,-0.011109132,0.0049 ,-0.0062 
"2016-12-05,一",-0.0010 ,-0.0016 ,-0.001454091,0.0004 ,-0.0010 
"2016-12-06,二",0.0093 ,0.0071 ,0.006501947,0.0028 ,0.0093 
"2016-12-07,三",-0.0096 ,-0.0021 ,-0.001963489,-0.0076 ,-0.0096 
"2016-12-08,四",-0.0125 ,0.0054 ,0.005015161,-0.0175 ,-0.0125 
"2016-12-09,五",-0.0428 ,-0.0247 ,-0.022763615,-0.0200 ,-0.0428 
"2016-12-12,一",0.0095 ,0.0007 ,0.000604617,0.0089 ,0.0095 
"2016-12-13,二",-0.0080 ,-0.0046 ,-0.004235379,-0.0037 ,-0.0080 
"2016-12-14,三",0.0059 ,-0.0073 ,-0.006700588,0.0126 ,0.0059 
"2016-12-15,四",0.0131 ,0.0017 ,0.001565576,0.0115 ,0.0131 
"2016-12-16,五",-0.0108 ,-0.0016 ,-0.001444962,-0.0093 ,-0.0108 
