date,-,stock,-,index,*beta,ASR,profit,,,
"2016-05-10,二",5.01,-0.001996008,2832.59,0.001571,0.001850059,-0.003846067,-0.001996008,,,
"2016-05-11,三",5,0.002,2837.04,-0.000415926,-0.000489808,0.002489808,0.002,,,
"2016-05-12,四",5.01,0,2835.86,-0.003085484,-0.003633561,0.003633561,0,,,
"2016-05-13,五",5.01,0.003992016,2827.11,0.008400805,0.009893048,-0.005901032,0.003992016,,,
"2016-05-16,一",5.03,-0.003976143,2850.86,-0.002518538,-0.002965909,-0.001010234,-0.003976143,,,
"2016-05-17,二",5.01,-0.015968064,2843.68,-0.012719434,-0.0149788,-0.000989264,-0.015968064,,,
"2016-05-18,三",4.93,-0.004056795,2807.51,-0.000213713,-0.000251674,-0.003805121,-0.004056795,,,
"2016-05-19,四",4.91,0.00814664,2806.91,0.006615816,0.00779099,0.00035565,0.00814664,,,
"2016-05-20,五",4.95,0.006060606,2825.48,0.006430766,0.007573069,-0.001512463,0.006060606,,,
"2016-05-23,一",4.98,-0.014056225,2843.65,-0.007729503,-0.009102502,-0.004953723,-0.014056225,,,
"2016-05-24,二",4.91,0,2821.67,-0.002331952,-0.002746179,0.002746179,0,,,
"2016-05-25,三",4.91,0.00610998,2815.09,0.002610929,0.003074711,0.003035269,0.00610998,,,
"2016-05-26,四",4.94,-0.004048583,2822.44,-0.000492482,-0.000579962,-0.003468621,-0.004048583,,,
"2016-05-27,五",4.92,0,2821.05,0.000496269,0.000584422,-0.000584422,0,,,
"2016-05-30,一",4.92,0.034552846,2822.45,0.03336463,0.039291223,-0.004738377,0.034552846,,,
"2016-05-31,二",5.09,-0.003929273,2916.62,-0.001066303,-0.001255711,-0.002673562,-0.003929273,,,
"2016-06-01,三",5.07,-0.003944773,2913.51,0.004022639,0.004737185,-0.008681958,-0.003944773,,,
"2016-06-02,四",5.05,0.003960396,2925.23,0.004597929,0.005414664,-0.001454268,0.003960396,,,
"2016-06-03,五",5.07,0,2938.68,-0.001558523,-0.001835365,0.001835365,0,,,
"2016-06-06,一",5.07,-0.00591716,2934.1,0.000661191,0.000778639,-0.006695799,-0.00591716,,,
"2016-06-07,二",5.04,-0.003968254,2936.04,-0.003024482,-0.003561724,-0.00040653,-0.003968254,,,
"2016-06-08,三",5.02,-0.027888446,2927.16,-0.032143784,-0.037853517,0.009965071,-0.027888446,,,
"2016-06-13,一",4.88,0.012295082,2833.07,0.003219123,0.003790939,0.008504143,0.012295082,,,
"2016-06-14,二",4.94,0.012145749,2842.19,0.015839898,0.018653555,-0.006507806,0.012145749,,,
"2016-06-15,三",5,-0.004,2887.21,-0.00498405,-0.005869372,0.001869372,-0.004,,,
"2016-06-16,四",4.98,0.008032129,2872.82,0.004278026,0.005037937,0.002994192,0.008032129,,,
"2016-06-17,五",5.02,-0.005976096,2885.11,0.001282447,0.001510249,-0.007486345,-0.005976096,,,
"2016-06-20,一",4.99,-0.004008016,2888.81,-0.003548174,-0.004178439,0.000170423,-0.004008016,,,
"2016-06-21,二",4.97,0.004024145,2878.56,0.009376216,0.011041722,-0.007017578,0.004024145,,,
"2016-06-22,三",4.99,-0.008016032,2905.55,-0.004677256,-0.005508081,-0.002507951,-0.008016032,,,
"2016-06-23,四",4.95,-0.01010101,2891.96,-0.013025768,-0.015339548,0.005238538,-0.01010101,,,
"2016-06-24,五",4.9,0.010204082,2854.29,0.014507986,0.017085054,-0.006880973,0.010204082,,,
"2016-06-27,一",4.95,0.002020202,2895.7,0.005822426,0.00685667,-0.004836468,0.002020202,,,
"2016-06-28,二",4.96,0.016129032,2912.56,0.006533771,0.007694371,0.008434661,0.016129032,,,
"2016-06-29,三",5.04,-0.003968254,2931.59,-0.000675401,-0.000795374,-0.00317288,-0.003968254,,,
