date,.,.,stock,index,*beta,ASR,profit,,,
"2017-05-15,一",6.33,3090.23,0.034755134,0.00735544,0.0071996,0.027555534,0.034755134,,,
"2017-05-16,二",6.55,3112.96,-0.013740458,-0.002736945,-0.002678957,-0.011061501,-0.013740458,,,
"2017-05-17,三",6.46,3104.44,0.037151703,-0.004606306,-0.004508712,0.041660415,0.037151703,,,
"2017-05-18,四",6.7,3090.14,0.005970149,0.000158569,0.000155209,0.00581494,0.005970149,,,
"2017-05-19,五",6.74,3090.63,-0.002967359,-0.004837201,-0.004734716,0.001767357,-0.002967359,,,
"2017-05-22,一",6.72,3075.68,0.023809524,-0.004464053,-0.004369474,0.028178997,0.023809524,,,
"2017-05-23,二",6.88,3061.95,0.002906977,0.000695635,0.000680897,0.00222608,0.002906977,,,
"2017-05-24,三",6.9,3064.08,-0.010144928,0.014278348,0.013975832,-0.02412076,-0.010144928,,,
"2017-05-25,四",6.83,3107.83,-0.036603221,0.000717542,0.00070234,-0.037305561,-0.036603221,,,
"2017-05-26,五",6.58,3110.06,0,0.002289345,0.002240841,-0.002240841,0,,,
"2017-05-31,三",6.58,3117.18,0.018237082,-0.004670888,-0.004571926,0.022809008,0.018237082,,,
"2017-06-01,四",6.7,3102.62,0.005970149,0.00094114,0.0009212,0.005048949,0.005970149,,,
"2017-06-02,五",6.74,3105.54,0.004451039,-0.004469432,-0.004374738,0.008825777,0.004451039,,,
"2017-06-05,一",6.77,3091.66,0.005908419,0.00338653,0.00331478,0.00259364,0.005908419,,,
"2017-06-06,二",6.81,3102.13,0.024963289,0.012310896,0.012050065,0.012913224,0.024963289,,,
"2017-06-07,三",6.98,3140.32,-0.001432665,0.003187573,0.003120038,-0.004552703,-0.001432665,,,
"2017-06-08,四",6.97,3150.33,0.00143472,0.002561636,0.002507363,-0.001072643,0.00143472,,,
"2017-06-09,五",6.98,3158.4,-0.020057307,-0.005863728,-0.005739494,-0.014317813,-0.020057307,,,
"2017-06-12,一",6.84,3139.88,-0.001461988,0.004414181,0.004320658,-0.005782646,-0.001461988,,,
"2017-06-13,二",6.83,3153.74,-0.001464129,-0.007315124,-0.007160139,0.00569601,-0.001464129,,,
"2017-06-14,三",6.82,3130.67,-0.023460411,0.000581345,0.000569028,-0.024029439,-0.023460411,,,
"2017-06-15,四",6.66,3132.49,0.003003003,-0.002975269,-0.002912232,0.005915235,0.003003003,,,
"2017-06-16,五",6.68,3123.17,0.013473054,0.006787975,0.006644158,0.006828896,0.013473054,,,
"2017-06-19,一",6.77,3144.37,-0.007385524,-0.001386605,-0.001357227,-0.006028297,-0.007385524,,,
"2017-06-20,二",6.72,3140.01,0.081845238,0.005159219,0.005049911,0.076795327,0.081845238,,,
"2017-06-21,三",7.27,3156.21,-0.041265475,-0.002775481,-0.002716677,-0.038548798,-0.041265475,,,
"2017-06-22,四",6.97,3147.45,0.017216643,0.003310617,0.003240474,0.013976168,0.017216643,,,
"2017-06-23,五",7.09,3157.87,0.004231312,0.008730568,0.008545594,-0.004314282,0.004231312,,,
"2017-06-26,一",7.12,3185.44,-0.002808989,0.001808227,0.001769917,-0.004578905,-0.002808989,,,
"2017-06-27,二",7.1,3191.2,-0.012676056,-0.005640511,-0.005521006,-0.00715505,-0.012676056,,,
"2017-06-28,三",7.01,3173.2,0.004279601,0.00468297,0.004583752,-0.000304151,0.004279601,,,
"2017-06-29,四",7.04,3188.06,0.005681818,0.00137074,0.001341698,0.00434012,0.005681818,,,
"2017-06-30,五",7.08,3192.43,0.014124294,0.001090079,0.001066983,0.013057311,0.014124294,,,
"2017-07-03,一",7.18,3195.91,-0.025069638,-0.004102118,-0.004015206,-0.021054431,-0.025069638,,,
"2017-07-04,二",7,3182.8,0.01,0.007644213,0.007482255,0.002517745,0.01,,,
"2017-07-05,三",7.07,3207.13,-0.002828854,0.001655686,0.001620607,-0.004449461,-0.002828854,,,
"2017-07-06,四",7.05,3212.44,-0.002836879,0.00171832,0.001681914,-0.004518793,-0.002836879,,,
"2017-07-07,五",7.03,3217.96,0.008534851,-0.001656329,-0.001621236,0.010156087,0.008534851,,,
"2017-07-10,一",7.09,3212.63,0.023977433,-0.002985093,-0.002921848,0.026899281,0.023977433,,,
"2017-07-11,二",7.26,3203.04,-0.02892562,-0.001717119,-0.001680738,-0.027244882,-0.02892562,,,
"2017-07-12,三",7.05,3197.54,-0.008510638,0.006448707,0.006312079,-0.014822717,-0.008510638,,,
"2017-07-13,四",6.99,3218.16,0.001430615,0.001323738,0.001295692,0.000134923,0.001430615,,,
"2017-07-14,五",7,3222.42,-0.041428571,-0.014262573,-0.013960392,-0.02746818,-0.041428571,,,
"2017-07-17,一",6.71,3176.46,0.002980626,0.003497604,0.003423501,-0.000442875,0.002980626,,,
"2017-07-18,二",6.73,3187.57,0,0.013618524,0.013329989,-0.013329989,0,,,
"2017-07-19,三",6.73,3230.98,-0.005943536,0.00429591,0.004204893,-0.010148429,-0.005943536,,,
"2017-07-20,四",6.69,3244.86,0.020926756,-0.002120276,-0.002075354,0.02300211,0.020926756,,,
"2017-07-21,五",6.83,3237.98,-0.004392387,0.003897492,0.003814915,-0.008207302,-0.004392387,,,
"2017-07-24,一",6.8,3250.6,-0.004411765,-0.002125761,-0.002080723,-0.002331042,-0.004411765,,,
"2017-07-25,二",6.77,3243.69,-0.007385524,0.001226998,0.001201001,-0.008586526,-0.007385524,,,
"2017-07-26,三",6.72,3247.67,-0.019345238,0.000649697,0.000635931,-0.01998117,-0.019345238,,,
"2017-07-27,四",6.59,3249.78,-0.006069803,0.001064687,0.00104213,-0.007111933,-0.006069803,,,
"2017-07-28,五",6.55,3253.24,0.042748092,0.006083166,0.005954282,0.036793809,0.042748092,,,
"2017-07-31,一",6.83,3273.03,-0.014641288,0.00599139,0.005864451,-0.020505739,-0.014641288,,,
"2017-08-01,二",6.73,3292.64,-0.004457652,-0.002302104,-0.002253329,-0.002204323,-0.004457652,,,
"2017-08-02,三",6.7,3285.06,0.002985075,-0.003692474,-0.003614242,0.006599317,0.002985075,,,
"2017-08-03,四",6.72,3272.93,0.001488095,-0.003315072,-0.003244836,0.004732931,0.001488095,,,
"2017-08-04,五",6.73,3262.08,-0.001485884,0.005327889,0.005215007,-0.006700891,-0.001485884,,,
"2017-08-07,一",6.72,3279.46,-0.004464286,0.000734877,0.000719307,-0.005183593,-0.004464286,,,
"2017-08-08,二",6.69,3281.87,0.001494768,-0.001919637,-0.001878966,0.003373734,0.001494768,,,
"2017-08-09,三",6.7,3275.57,-0.011940299,-0.004219113,-0.004129723,-0.007810576,-0.011940299,,,
"2017-08-10,四",6.62,3261.75,0.006042296,-0.016313329,-0.015967698,0.022009994,0.006042296,,,
"2017-08-11,五",6.66,3208.54,0.027027027,0.008982279,0.008791971,0.018235056,0.027027027,,,
"2017-08-14,一",6.84,3237.36,0.013157895,0.004293622,0.004202653,0.008955242,0.013157895,,,
"2017-08-15,二",6.93,3251.26,-0.014430014,-0.001479426,-0.001448082,-0.012981933,-0.014430014,,,
"2017-08-16,三",6.83,3246.45,0.021961933,0.006770472,0.006627026,0.015334906,0.021961933,,,
"2017-08-17,四",6.98,3268.43,-0.008595989,8.87276E-05,8.68477E-05,-0.008682836,-0.008595989,,,
"2017-08-18,五",6.92,3268.72,0.021676301,0.005564869,0.005446967,0.016229334,0.021676301,,,
"2017-08-21,一",7.07,3286.91,-0.005657709,0.001010067,0.000988667,-0.006646376,-0.005657709,,,
"2017-08-22,二",7.03,3290.23,-0.011379801,-0.000768943,-0.000752652,-0.010627149,-0.011379801,,,
"2017-08-23,三",6.95,3287.7,-0.01294964,-0.004924415,-0.004820082,-0.008129559,-0.01294964,,,
"2017-08-24,四",6.86,3271.51,0.005830904,0.018343212,0.017954574,-0.01212367,0.005830904,,,
"2017-08-25,五",6.9,3331.52,0.004347826,0.009344083,0.00914611,-0.004798284,0.004347826,,,
"2017-08-28,一",6.93,3362.65,-0.004329004,0.000767252,0.000750996,-0.005080001,-0.004329004,,,
"2017-08-29,二",6.9,3365.23,-0.002898551,-0.00047545,-0.000465377,-0.002433174,-0.002898551,,,
"2017-08-30,三",6.88,3363.63,-0.010174419,-0.00083838,-0.000820617,-0.009353801,-0.010174419,,,
"2017-08-31,四",6.81,3360.81,0.022026432,0.001877524,0.001837744,0.020188687,0.022026432,,,
"2017-09-01,五",6.96,3367.12,0.007183908,0.003700492,0.003622089,0.003561819,0.007183908,,,
"2017-09-04,一",7.01,3379.58,0.011412268,0.001402541,0.001372826,0.010039443,0.011412268,,,
"2017-09-05,二",7.09,3384.32,-0.004231312,0.000316164,0.000309465,-0.004540777,-0.004231312,,,
"2017-09-06,三",7.06,3385.39,-0.007082153,-0.005875246,-0.005750767,-0.001331386,-0.007082153,,,
"2017-09-07,四",7.01,3365.5,0.005706134,-7.72545E-05,-7.56177E-05,0.005781752,0.005706134,,,
"2017-09-08,五",7.05,3365.24,-0.002836879,0.0033222,0.003251812,-0.006088692,-0.002836879,,,
"2017-09-11,一",7.03,3376.42,0,0.000909247,0.000889983,-0.000889983,0,,,
"2017-09-12,二",7.03,3379.49,-0.00284495,0.001378906,0.001349691,-0.004194642,-0.00284495,,,
"2017-09-13,三",7.01,3384.15,-0.005706134,-0.003758699,-0.003679063,-0.002027071,-0.005706134,,,
"2017-09-14,四",6.97,3371.43,0.050215208,-0.005282625,-0.005170702,0.05538591,0.050215208,,,
"2017-09-15,五",7.32,3353.62,0.005464481,0.002755232,0.002696857,0.002767624,0.005464481,,,
"2017-09-18,一",7.36,3362.86,0.061141304,-0.001790143,-0.001752215,0.06289352,0.061141304,,,
"2017-09-19,二",7.81,3356.84,0.014084507,0.002728757,0.002670943,0.011413564,0.014084507,,,
"2017-09-20,三",7.92,3366,0.007575758,-0.002433155,-0.002381604,0.009957361,0.007575758,,,
"2017-09-21,四",7.98,3357.81,-0.026315789,-0.001572453,-0.001539138,-0.024776652,-0.026315789,,,
"2017-09-22,五",7.77,3352.53,-0.011583012,-0.003275138,-0.003205748,-0.008377263,-0.011583012,,,
"2017-09-25,一",7.68,3341.55,0.001302083,0.000607503,0.000594631,0.000707452,0.001302083,,,
"2017-09-26,二",7.69,3343.58,0.010403121,0.000505446,0.000494737,0.009908384,0.010403121,,,
"2017-09-27,三",7.77,3345.27,0.002574003,-0.001682973,-0.001647316,0.004221319,0.002574003,,,
"2017-09-28,四",7.79,3339.64,0.025673941,0.002784731,0.002725731,0.02294821,0.025673941,,,
"2017-09-29,五",7.99,3348.94,0.032540676,0.007596433,0.007435488,0.025105188,0.032540676,,,
"2017-10-09,一",8.25,3374.38,-0.001212121,0.00255158,0.00249752,-0.003709641,-0.001212121,,,
"2017-10-10,二",8.24,3382.99,0.007281553,0.001563705,0.001530575,0.005750978,0.007281553,,,
"2017-10-11,三",8.3,3388.28,0.05060241,-0.000643394,-0.000629763,0.051232172,0.05060241,,,
