date,..,..,stock,index,*beta,ASR,profit,,,,
"2016-05-23,一",18.77,2843.65,-0.000532765,-0.007729503,-0.007759277,0.007226512,-0.000532765,,,,
"2016-05-24,二",18.76,2821.67,-0.006929638,-0.002331952,-0.002340935,-0.004588702,-0.006929638,,,,
"2016-05-25,三",18.63,2815.09,0.003757381,0.002610929,0.002620986,0.001136394,0.003757381,,,,
"2016-05-26,四",18.7,2822.44,-0.001069519,-0.000492482,-0.000494379,-0.00057514,-0.001069519,,,,
"2016-05-27,五",18.68,2821.05,-0.002141328,0.000496269,0.000498181,-0.002639508,-0.002141328,,,,
"2016-05-30,一",18.64,2822.45,0.034334764,0.03336463,0.033493151,0.000841613,0.034334764,,,,
"2016-05-31,二",19.28,2916.62,-0.007261411,-0.001066303,-0.00107041,-0.006191001,-0.007261411,,,,
"2016-06-01,三",19.14,2913.51,0,0.004022639,0.004038135,-0.004038135,0,,,,
"2016-06-02,四",19.14,2925.23,0.017241379,0.004597929,0.00461564,0.012625739,0.017241379,,,,
"2016-06-03,五",19.47,2938.68,-0.003081664,-0.001558523,-0.001564526,-0.001517138,-0.003081664,,,,
"2016-06-06,一",19.41,2934.1,-0.001545595,0.000661191,0.000663738,-0.002209333,-0.001545595,,,,
"2016-06-07,二",19.38,2936.04,-0.006707946,-0.003024482,-0.003036132,-0.003671814,-0.006707946,,,,
"2016-06-08,三",19.25,2927.16,-0.031168831,-0.032143784,-0.032267603,0.001098772,-0.031168831,,,,
"2016-06-13,一",18.65,2833.07,-0.00536193,0.003219123,0.003231523,-0.008593453,-0.00536193,,,,
"2016-06-14,二",18.55,2842.19,0.009703504,0.015839898,0.015900914,-0.00619741,0.009703504,,,,
"2016-06-15,三",18.73,2887.21,-0.012813668,-0.00498405,-0.005003249,-0.007810419,-0.012813668,,,,
"2016-06-16,四",18.49,2872.82,0.009194159,0.004278026,0.004294505,0.004899654,0.009194159,,,,
"2016-06-17,五",18.66,2885.11,0.005894962,0.001282447,0.001287387,0.004607576,0.005894962,,,,
"2016-06-20,一",18.77,2888.81,-0.000532765,-0.003548174,-0.003561841,0.003029076,-0.000532765,,,,
"2016-06-21,二",18.76,2878.56,0.010127932,0.009376216,0.009412333,0.000715599,0.010127932,,,,
"2016-06-22,三",18.95,2905.55,-0.017414248,-0.004677256,-0.004695272,-0.012718976,-0.017414248,,,,
"2016-06-23,四",18.62,2891.96,-0.008055854,-0.013025768,-0.013075943,0.005020089,-0.008055854,,,,
"2016-06-24,五",18.47,2854.29,0.012994044,0.014507986,0.014563871,-0.001569827,0.012994044,,,,
"2016-06-27,一",18.71,2895.7,0.008551577,0.005822426,0.005844854,0.002706722,0.008551577,,,,
"2016-06-28,二",18.87,2912.56,-0.002119767,0.006533771,0.006558939,-0.008678706,-0.002119767,,,,
"2016-06-29,三",18.83,2931.59,0.010090281,-0.000675401,-0.000678003,0.010768285,0.010090281,,,,
"2016-06-30,四",19.02,2929.61,-0.003680336,0.000979653,0.000983426,-0.004663763,-0.003680336,,,,
"2016-07-01,五",18.95,2932.48,0.019525066,0.019137385,0.019211103,0.000313963,0.019525066,,,,
"2016-07-04,一",19.32,2988.6,0.005175983,0.00595262,0.00597555,-0.000799566,0.005175983,,,,
"2016-07-05,二",19.42,3006.39,0.015447992,0.003625611,0.003639577,0.011808415,0.015447992,,,,
"2016-07-06,三",19.72,3017.29,0.009634888,-0.000145826,-0.000146388,0.009781276,0.009634888,,,,
"2016-07-07,四",19.91,3016.85,-0.004018081,-0.009533122,-0.009569844,0.005551763,-0.004018081,,,,
"2016-07-08,五",19.83,2988.09,0.008068583,0.002285741,0.002294546,0.005774037,0.008068583,,,,
"2016-07-11,一",19.99,2994.92,0.03901951,0.018184125,0.018254171,0.020765339,0.03901951,,,,
"2016-07-12,二",20.77,3049.38,0.000962927,0.003708951,0.003723238,-0.00276031,0.000962927,,,,
